,product_name,product_url,product_price,product_rating,product_review_count
98,"HAMMONDS FLYCATCHER Genuine Leather Laptop Bag for Men/Office Bag for Men, Brown | Fits Upto 16 Inch Laptop/MacBook | Leather Bag with Shoulder Straps | Laptop Messenger Bag/Leather Bag for Men",https://www.amazon.in/Hammonds-Flycatcher-Brown-Mens-Laptop/dp/B01LYDRI9V,"2,999",4.4,"2,371"
99,wildcraft Work Packs'18 21 ltrs red Laptop Backpack (Streak),https://www.amazon.in/Wildcraft-Packs18-Laptop-Backpack-Streak/dp/B07G7LDLJ7,"1,399",4.0,64
100,"Good Friends Blowzy Bags Laptop Messenger Bags for Men, Laptop Bags for Womens, Office Bags for Man, Laptop Briefcase, 15.6 inch Laptop Bag (Tan)",https://www.amazon.in/GOOD-FRIENDS-Blowzy-Messenger-Briefcase/dp/B088LG4CYY,527,3.8,39
101,Tommy Hilfiger Coppel 20 Ltrs Navy Laptop Backpack (TH/COPPELLAP08),https://www.amazon.in/Hilfiger-Coppel-Backpack-TH-COPPELLAP08/dp/B07GRCXMDW,"1,739",4.0,42
102,F Gear Amity 34 L Laptop Backpack,https://www.amazon.in/GEAR-Amity-Laptop-Backpack-Grey/dp/B0B4227KKN,780,4.0,3
103,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP,"1,131",4.3,"5,168"
104,ADISA Laptop Backpack 31 Ltrs,https://www.amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC,499,4.0,"9,085"
105,Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07PLKV6D1,473,4.3,"12,346"
106,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",https://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W,799,3.9,"2,430"
107,American Tourister Casual Backpack,https://www.amazon.in/American-Tourister-AMT-SCH-BAG01/dp/B07CJCFNZG,"1,139",4.1,"14,468"
108,F Gear Luxur Brown 25 liter Laptop Backpack (2404),https://www.amazon.in/F-Gear-Luxur-Brown-Backpack/dp/B01F7AX9ZA,"1,032",4.4,"16,468"
109,"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)",https://www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7,299,4.1,"8,164"
110,Tommy Hilfiger Joshua 15 inch 21 Ltrs Light Grey Laptop Backpack (TH/JOSHUALAP07),https://www.amazon.in/Hilfiger-Joshua-Backpack-TH-JOSHUALAP01/dp/B07N8GRWTZ,"2,239",3.9,402
111,NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel,https://www.amazon.in/Nivia-6853-Polyester-Basic-Duffle/dp/B07FWQ9HRV,239,4.0,"3,117"
112,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue, L (QUILL19CBBLU)",https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B28TKLG,799,4.1,495
113,Zipline Unisex casual polyester 36 L Backpack School Bag Women Men Boys Girls children Daypack College Bag Book School Sports Bag Weekend Bag,https://www.amazon.in/ZIPLINE-Polyester-Backpack-Children-Daypack/dp/B07XVMR33Q,834,4.0,"5,135"
114,DEIN KLEIDER Men's Nylon Messenger Bag,https://www.amazon.in/gp/bestsellers/luggage/2917442031/ref=sr_bs_13_2917442031_1,349,4.0,"4,566"
115,"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P,448,4.3,"12,346"
116,ADISA 35L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Green),https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVCBFM7,599,4.0,32
117,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF,652,4.4,"2,726"
118,"Dell Pro Slim Backpack 15 - PO1520PS - Fits Most laptops up to 38.1 cm (15 inches, Black)",https://www.amazon.in/Dell-Pro-Slim-Backpack-15/dp/B07PMQTB6T,"1,599",4.3,399
